TITLE	Example_2
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	23/06/07
TIME	13:54:32
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-550, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	900.0000
LASTX	190.0000
NPOINTS	711
FIRSTY	0.73853
MAXY	4.29930
MINY	0.27356
XYDATA
900.0000	0.73853
899.0000	0.74077
898.0000	0.74327
897.0000	0.74431
896.0000	0.74568
895.0000	0.74583
894.0000	0.74854
893.0000	0.74974
892.0000	0.75068
891.0000	0.7525
890.0000	0.75275
889.0000	0.7555
888.0000	0.75512
887.0000	0.75766
886.0000	0.75957
885.0000	0.75979
884.0000	0.76121
883.0000	0.76202
882.0000	0.76358
881.0000	0.76437
880.0000	0.76569
879.0000	0.76638
878.0000	0.76739
877.0000	0.76801
876.0000	0.76887
875.0000	0.76973
874.0000	0.76996
873.0000	0.77051
872.0000	0.7708
871.0000	0.7711
870.0000	0.77236
869.0000	0.7723
868.0000	0.77291
867.0000	0.77341
866.0000	0.77316
865.0000	0.77349
864.0000	0.77367
863.0000	0.77368
862.0000	0.77432
861.0000	0.7744
860.0000	0.77421
859.0000	0.77435
858.0000	0.77427
857.0000	0.77417
856.0000	0.7745
855.0000	0.77397
854.0000	0.77378
853.0000	0.77383
852.0000	0.7739
851.0000	0.77361
850.0000	0.77311
849.0000	0.77291
848.0000	0.7725
847.0000	0.77228
846.0000	0.77188
845.0000	0.77122
844.0000	0.77072
843.0000	0.77027
842.0000	0.76982
841.0000	0.7693
840.0000	0.76842
839.0000	0.76756
838.0000	0.76663
837.0000	0.76599
836.0000	0.76515
835.0000	0.76438
834.0000	0.76348
833.0000	0.76256
832.0000	0.76182
831.0000	0.7609
830.0000	0.75998
829.0000	0.75915
828.0000	0.75812
827.0000	0.75698
826.0000	0.75587
825.0000	0.75497
824.0000	0.75391
823.0000	0.7527
822.0000	0.75146
821.0000	0.75028
820.0000	0.74904
819.0000	0.74782
818.0000	0.74676
817.0000	0.74563
816.0000	0.74431
815.0000	0.74291
814.0000	0.74174
813.0000	0.74048
812.0000	0.73906
811.0000	0.73799
810.0000	0.73667
809.0000	0.73542
808.0000	0.73424
807.0000	0.73331
806.0000	0.73187
805.0000	0.73055
804.0000	0.72944
803.0000	0.72838
802.0000	0.72698
801.0000	0.72583
800.0000	0.72464
799.0000	0.72355
798.0000	0.72223
797.0000	0.72097
796.0000	0.71998
795.0000	0.71896
794.0000	0.71787
793.0000	0.71671
792.0000	0.71571
791.0000	0.71474
790.0000	0.7138
789.0000	0.71267
788.0000	0.71176
787.0000	0.71083
786.0000	0.70981
785.0000	0.70879
784.0000	0.70795
783.0000	0.70693
782.0000	0.70607
781.0000	0.70511
780.0000	0.70417
779.0000	0.70348
778.0000	0.70246
777.0000	0.70163
776.0000	0.70076
775.0000	0.69993
774.0000	0.69902
773.0000	0.69809
772.0000	0.69718
771.0000	0.69625
770.0000	0.69546
769.0000	0.69434
768.0000	0.69339
767.0000	0.69239
766.0000	0.69127
765.0000	0.69021
764.0000	0.68914
763.0000	0.68792
762.0000	0.68684
761.0000	0.68562
760.0000	0.68424
759.0000	0.68284
758.0000	0.68143
757.0000	0.68011
756.0000	0.67856
755.0000	0.67695
754.0000	0.67525
753.0000	0.67358
752.0000	0.6718
751.0000	0.66991
750.0000	0.668
749.0000	0.66597
748.0000	0.66382
747.0000	0.66165
746.0000	0.65944
745.0000	0.65696
744.0000	0.65439
743.0000	0.65187
742.0000	0.64924
741.0000	0.64668
740.0000	0.64345
739.0000	0.63962
738.0000	0.63674
737.0000	0.63388
736.0000	0.6308
735.0000	0.62757
734.0000	0.62459
733.0000	0.62144
732.0000	0.61826
731.0000	0.61495
730.0000	0.61159
729.0000	0.60823
728.0000	0.60487
727.0000	0.60149
726.0000	0.598
725.0000	0.59446
724.0000	0.59092
723.0000	0.58739
722.0000	0.58385
721.0000	0.58033
720.0000	0.57683
719.0000	0.57326
718.0000	0.56978
717.0000	0.56623
716.0000	0.56272
715.0000	0.55927
714.0000	0.55572
