TITLE	FittingExample
DATA	TYPE	
ORIGIN	JASCO
OWNER	
DATE	23/06/07
TIME	13:08:04
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-550, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	900.0000
LASTX	190.0000
NPOINTS	711
FIRSTY	0.08027
MAXY	3.79174
MINY	0.05499
XYDATA
900.0000	0.08027
899.0000	0.08132
898.0000	0.08115
897.0000	0.07999
896.0000	0.0785
895.0000	0.07676
894.0000	0.07702
893.0000	0.07685
892.0000	0.07641
891.0000	0.07546
890.0000	0.07495
889.0000	0.07506
888.0000	0.074
887.0000	0.07391
886.0000	0.07333
885.0000	0.07322
884.0000	0.07271
883.0000	0.07213
882.0000	0.07249
881.0000	0.07208
880.0000	0.07125
879.0000	0.07145
878.0000	0.07106
877.0000	0.07066
876.0000	0.07073
875.0000	0.07075
874.0000	0.07024
873.0000	0.07015
872.0000	0.07031
871.0000	0.07042
870.0000	0.07051
869.0000	0.07066
868.0000	0.07084
867.0000	0.07061
866.0000	0.07039
865.0000	0.07042
864.0000	0.07032
863.0000	0.0706
862.0000	0.07096
861.0000	0.07132
860.0000	0.07138
859.0000	0.07145
858.0000	0.07182
857.0000	0.07201
856.0000	0.07222
855.0000	0.07257
854.0000	0.07287
853.0000	0.07322
852.0000	0.07391
851.0000	0.07447
850.0000	0.07477
849.0000	0.0752
848.0000	0.0756
847.0000	0.0763
846.0000	0.07701
845.0000	0.07763
844.0000	0.07838
843.0000	0.07915
842.0000	0.07984
841.0000	0.08083
840.0000	0.08184
839.0000	0.08278
838.0000	0.0838
837.0000	0.0849
836.0000	0.08611
835.0000	0.08733
834.0000	0.08874
833.0000	0.09022
832.0000	0.0917
831.0000	0.09336
830.0000	0.09512
829.0000	0.09702
828.0000	0.09901
827.0000	0.10094
826.0000	0.10314
825.0000	0.10543
824.0000	0.10793
823.0000	0.1104
822.0000	0.11321
821.0000	0.1162
820.0000	0.11925
819.0000	0.12255
818.0000	0.12597
817.0000	0.12972
816.0000	0.13355
815.0000	0.13733
814.0000	0.14154
813.0000	0.14594
812.0000	0.1504
811.0000	0.15546
810.0000	0.16074
809.0000	0.16607
808.0000	0.17172
807.0000	0.17782
806.0000	0.1839
805.0000	0.19027
804.0000	0.19703
803.0000	0.20409
802.0000	0.21157
801.0000	0.21926
800.0000	0.22732
799.0000	0.23576
798.0000	0.24432
797.0000	0.25332
796.0000	0.26272
795.0000	0.27252
794.0000	0.28253
793.0000	0.29285
792.0000	0.30339
791.0000	0.31423
790.0000	0.32565
789.0000	0.33734
788.0000	0.34922
787.0000	0.36151
786.0000	0.37388
785.0000	0.38629
784.0000	0.39898
783.0000	0.41236
782.0000	0.42604
781.0000	0.43974
780.0000	0.45358
779.0000	0.46763
778.0000	0.48153
777.0000	0.49552
776.0000	0.5095
775.0000	0.52365
774.0000	0.53734
773.0000	0.55106
772.0000	0.56475
771.0000	0.57844
770.0000	0.59193
769.0000	0.605
768.0000	0.61777
767.0000	0.63028
766.0000	0.64225
765.0000	0.65368
764.0000	0.66456
763.0000	0.67517
762.0000	0.68536
761.0000	0.69482
760.0000	0.70369
759.0000	0.71212
758.0000	0.7199
757.0000	0.72696
756.0000	0.73323
755.0000	0.73882
754.0000	0.74364
753.0000	0.74786
752.0000	0.75127
751.0000	0.75409
750.0000	0.756
749.0000	0.7571
748.0000	0.7574
747.0000	0.757
746.0000	0.75588
745.0000	0.75405
744.0000	0.75155
743.0000	0.74805
742.0000	0.74399
741.0000	0.73943
740.0000	0.7322
739.0000	0.72361
738.0000	0.71704
737.0000	0.70977
736.0000	0.70189
735.0000	0.6933
734.0000	0.68431
733.0000	0.67481
732.0000	0.6648
731.0000	0.65455
730.0000	0.64388
729.0000	0.63271
728.0000	0.62145
727.0000	0.61011
726.0000	0.59832
725.0000	0.58635
724.0000	0.57425
723.0000	0.56209
722.0000	0.54968
721.0000	0.53736
720.0000	0.5251
719.0000	0.5129
718.0000	0.50071
717.0000	0.48872
716.0000	0.47694
715.0000	0.46528
714.0000	0.45364
