TITLE	I2_water
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	23/06/14
TIME	15:14:38
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-550, Rev. 1.00
RESOLUTION	
DELTAX	-2
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	700.0000
LASTX	300.0000
NPOINTS	201
FIRSTY	0.00953
MAXY	0.21184
MINY	0.00953
XYDATA
700.0000	0.00953
698.0000	0.0096
696.0000	0.00972
694.0000	0.00993
692.0000	0.01012
690.0000	0.01031
688.0000	0.01036
686.0000	0.01055
684.0000	0.01069
682.0000	0.01076
680.0000	0.01085
678.0000	0.011
676.0000	0.01118
674.0000	0.01136
672.0000	0.01153
670.0000	0.01166
668.0000	0.01182
666.0000	0.01198
664.0000	0.01216
662.0000	0.01237
660.0000	0.01255
658.0000	0.01274
656.0000	0.01291
654.0000	0.01309
652.0000	0.01327
650.0000	0.01344
648.0000	0.01366
646.0000	0.01386
644.0000	0.01407
642.0000	0.01428
640.0000	0.01447
638.0000	0.01471
636.0000	0.0149
634.0000	0.01508
632.0000	0.01538
630.0000	0.01558
628.0000	0.01588
626.0000	0.01611
624.0000	0.01637
622.0000	0.01662
620.0000	0.01692
618.0000	0.01718
616.0000	0.01748
614.0000	0.01777
612.0000	0.01812
610.0000	0.01847
608.0000	0.0189
606.0000	0.0193
604.0000	0.01974
602.0000	0.02024
600.0000	0.02068
598.0000	0.02116
596.0000	0.02168
594.0000	0.02217
592.0000	0.02274
590.0000	0.02336
588.0000	0.0239
586.0000	0.02454
584.0000	0.02528
582.0000	0.02605
580.0000	0.02688
578.0000	0.02777
576.0000	0.02877
574.0000	0.02976
572.0000	0.03084
570.0000	0.03205
568.0000	0.03328
566.0000	0.03464
564.0000	0.03613
562.0000	0.03764
560.0000	0.03929
558.0000	0.04113
556.0000	0.043
554.0000	0.04495
552.0000	0.04711
550.0000	0.04938
548.0000	0.0517
546.0000	0.05435
544.0000	0.05704
542.0000	0.05987
540.0000	0.06284
538.0000	0.06603
536.0000	0.06933
534.0000	0.07284
532.0000	0.07652
530.0000	0.08036
528.0000	0.08428
526.0000	0.08836
524.0000	0.09258
522.0000	0.09696
520.0000	0.10024
518.0000	0.10613
516.0000	0.11079
514.0000	0.11553
512.0000	0.12035
510.0000	0.12524
508.0000	0.13014
506.0000	0.13509
504.0000	0.14012
502.0000	0.14503
500.0000	0.14998
498.0000	0.15492
496.0000	0.15978
494.0000	0.16459
492.0000	0.16928
490.0000	0.17389
488.0000	0.1783
486.0000	0.18262
484.0000	0.18673
482.0000	0.19059
480.0000	0.19426
478.0000	0.19762
476.0000	0.20064
474.0000	0.20341
472.0000	0.20581
470.0000	0.2078
468.0000	0.20945
466.0000	0.21068
464.0000	0.21146
462.0000	0.21184
460.0000	0.21183
458.0000	0.21139
456.0000	0.21045
454.0000	0.20911
452.0000	0.20731
450.0000	0.20504
448.0000	0.20241
446.0000	0.19927
444.0000	0.19571
442.0000	0.19182
440.0000	0.18741
438.0000	0.18278
436.0000	0.17771
434.0000	0.17246
432.0000	0.16681
430.0000	0.16096
428.0000	0.15497
426.0000	0.14885
424.0000	0.14259
422.0000	0.13617
420.0000	0.13148
418.0000	0.12322
416.0000	0.1169
414.0000	0.11073
412.0000	0.10477
410.0000	0.09885
408.0000	0.09326
406.0000	0.08791
404.0000	0.08264
402.0000	0.07778
400.0000	0.07338
398.0000	0.06875
396.0000	0.06471
394.0000	0.06102
392.0000	0.05763
390.0000	0.05467
388.0000	0.05193
386.0000	0.04958
384.0000	0.04751
382.0000	0.0458
380.0000	0.04436
378.0000	0.04319
376.0000	0.04234
374.0000	0.04171
372.0000	0.04128
370.0000	0.04117
368.0000	0.04115
366.0000	0.04119
364.0000	0.04137
362.0000	0.04148
360.0000	0.04166
358.0000	0.04191
356.0000	0.04208
354.0000	0.04215
352.0000	0.04235
350.0000	0.04225
348.0000	0.04215
346.0000	0.04194
344.0000	0.04174
342.0000	0.04133
340.0000	0.04171
338.0000	0.04178
336.0000	0.04125
334.0000	0.04072
332.0000	0.0403
330.0000	0.03971
328.0000	0.03936
326.0000	0.039
324.0000	0.03924
322.0000	0.03939
320.0000	0.03982
318.0000	0.0408
316.0000	0.04185
314.0000	0.04301
312.0000	0.0448
310.0000	0.04684
308.0000	0.04915
306.0000	0.05159
304.0000	0.05473
302.0000	0.05777
300.0000	0.06099
